date,q_current,Store
1/1/2021 0:00,87,1
1/1/2021 0:00,145,5
1/1/2021 0:00,49,9
1/1/2021 0:30,102,1
1/1/2021 0:30,170,5
1/1/2021 0:30,43,9
1/1/2021 1:00,120,1
1/1/2021 1:00,165,5
1/1/2021 1:00,45,9
1/1/2021 1:30,121,1
1/1/2021 1:30,158,5
1/1/2021 1:30,40,9
1/1/2021 2:00,112,1
1/1/2021 2:00,164,5
1/1/2021 2:00,47,9
1/1/2021 2:30,115,1
1/1/2021 2:30,139,5
1/1/2021 2:30,46,9
1/1/2021 3:00,102,1
1/1/2021 3:00,130,5
1/1/2021 3:00,36,9
1/1/2021 3:30,76,1
1/1/2021 3:30,114,5
1/1/2021 3:30,23,9
1/1/2021 4:00,56,1
1/1/2021 4:00,85,5
1/1/2021 4:00,16,9
1/1/2021 4:30,48,1
1/1/2021 4:30,59,5
1/1/2021 4:30,15,9
1/1/2021 5:00,23,1
1/1/2021 5:00,34,5
1/1/2021 5:00,10,9
1/1/2021 5:30,12,1
1/1/2021 5:30,26,5
1/1/2021 5:30,5,9
1/1/2021 6:00,11,1
1/1/2021 6:00,14,5
1/1/2021 6:00,5,9
1/1/2021 6:30,5,1
1/1/2021 6:30,12,5
1/1/2021 6:30,4,9
1/1/2021 7:00,5,1
1/1/2021 7:00,3,5
1/1/2021 7:00,2,9
1/1/2021 7:30,2,1
1/1/2021 7:30,2,5
1/1/2021 7:30,0,9
1/1/2021 8:00,0,1
1/1/2021 8:00,3,5
1/1/2021 8:00,2,9
1/1/2021 8:30,2,1
1/1/2021 8:30,2,5
1/1/2021 8:30,2,9
1/1/2021 9:00,0,1
1/1/2021 9:00,3,5
1/1/2021 9:00,2,9
1/1/2021 9:30,0,1
1/1/2021 9:30,4,5
1/1/2021 9:30,3,9
1/1/2021 10:00,2,1
1/1/2021 10:00,3,5
1/1/2021 10:00,3,9
1/1/2021 10:30,0,1
1/1/2021 10:30,7,5
1/1/2021 10:30,5,9
1/1/2021 11:00,6,1
1/1/2021 11:00,9,5
1/1/2021 11:00,8,9
1/1/2021 11:30,7,1
1/1/2021 11:30,14,5
1/1/2021 11:30,7,9
1/1/2021 12:00,14,1
1/1/2021 12:00,19,5
1/1/2021 12:00,7,9
1/1/2021 12:30,13,1
1/1/2021 12:30,22,5
1/1/2021 12:30,12,9
1/1/2021 13:00,13,1
1/1/2021 13:00,33,5
1/1/2021 13:00,15,9
1/1/2021 13:30,20,1
1/1/2021 13:30,32,5
1/1/2021 13:30,17,9
1/1/2021 14:00,29,1
1/1/2021 14:00,42,5
1/1/2021 14:00,12,9
1/1/2021 14:30,27,1
1/1/2021 14:30,49,5
1/1/2021 14:30,23,9
1/1/2021 15:00,39,1
1/1/2021 15:00,54,5
1/1/2021 15:00,25,9
1/1/2021 15:30,48,1
1/1/2021 15:30,72,5
1/1/2021 15:30,25,9
1/1/2021 16:00,41,1
1/1/2021 16:00,63,5
1/1/2021 16:00,25,9
1/1/2021 16:30,36,1
1/1/2021 16:30,70,5
1/1/2021 16:30,27,9
1/1/2021 17:00,41,1
1/1/2021 17:00,73,5
1/1/2021 17:00,26,9
1/1/2021 17:30,36,1
1/1/2021 17:30,64,5
1/1/2021 17:30,24,9
1/1/2021 18:00,41,1
1/1/2021 18:00,68,5
1/1/2021 18:00,24,9
1/1/2021 18:30,45,1
1/1/2021 18:30,66,5
1/1/2021 18:30,26,9
1/1/2021 19:00,50,1
1/1/2021 19:00,78,5
1/1/2021 19:00,27,9
1/1/2021 19:30,50,1
1/1/2021 19:30,84,5
1/1/2021 19:30,31,9
1/1/2021 20:00,57,1
1/1/2021 20:00,73,5
1/1/2021 20:00,27,9
1/1/2021 20:30,59,1
1/1/2021 20:30,91,5
1/1/2021 20:30,34,9
1/1/2021 21:00,55,1
1/1/2021 21:00,98,5
1/1/2021 21:00,38,9
1/1/2021 21:30,70,1
1/1/2021 21:30,105,5
1/1/2021 21:30,36,9
1/1/2021 22:00,68,1
1/1/2021 22:00,106,5
1/1/2021 22:00,41,9
1/1/2021 22:30,67,1
1/1/2021 22:30,110,5
1/1/2021 22:30,37,9
1/1/2021 23:00,79,1
1/1/2021 23:00,107,5
1/1/2021 23:00,40,9
1/1/2021 23:30,83,1
1/1/2021 23:30,127,5
1/1/2021 23:30,43,9
1/2/2021 0:00,88,1
1/2/2021 0:00,109,5
1/2/2021 0:00,36,9
1/2/2021 0:30,86,1
1/2/2021 0:30,121,5
1/2/2021 0:30,39,9
1/2/2021 1:00,92,1
1/2/2021 1:00,116,5
1/2/2021 1:00,38,9
1/2/2021 1:30,86,1
1/2/2021 1:30,130,5
1/2/2021 1:30,35,9
1/2/2021 2:00,78,1
1/2/2021 2:00,118,5
1/2/2021 2:00,33,9
1/2/2021 2:30,90,1
1/2/2021 2:30,106,5
1/2/2021 2:30,28,9
1/2/2021 3:00,80,1
1/2/2021 3:00,94,5
1/2/2021 3:00,24,9
1/2/2021 3:30,53,1
1/2/2021 3:30,77,5
1/2/2021 3:30,18,9
1/2/2021 4:00,47,1
1/2/2021 4:00,62,5
1/2/2021 4:00,14,9
1/2/2021 4:30,36,1
1/2/2021 4:30,48,5
1/2/2021 4:30,12,9
1/2/2021 5:00,19,1
1/2/2021 5:00,26,5
1/2/2021 5:00,6,9
1/2/2021 5:30,6,1
1/2/2021 5:30,10,5
1/2/2021 5:30,8,9
1/2/2021 6:00,4,1
1/2/2021 6:00,3,5
1/2/2021 6:00,1,9
1/2/2021 6:30,2,1
1/2/2021 6:30,4,5
1/2/2021 6:30,2,9
1/2/2021 7:00,2,1
1/2/2021 7:00,7,5
1/2/2021 7:00,3,9
1/2/2021 7:30,1,1
1/2/2021 7:30,4,5
1/2/2021 7:30,0,9
1/2/2021 8:00,2,1
1/2/2021 8:00,2,5
1/2/2021 8:00,2,9
1/2/2021 8:30,1,1
1/2/2021 8:30,1,5
1/2/2021 8:30,1,9
1/2/2021 9:00,1,1
1/2/2021 9:00,2,5
1/2/2021 9:00,0,9
1/2/2021 9:30,1,1
1/2/2021 9:30,3,5
1/2/2021 9:30,1,9
1/2/2021 10:00,2,1
1/2/2021 10:00,4,5
1/2/2021 10:00,2,9
1/2/2021 10:30,2,1
1/2/2021 10:30,3,5
1/2/2021 10:30,1,9
1/2/2021 11:00,4,1
1/2/2021 11:00,4,5
1/2/2021 11:00,3,9
1/2/2021 11:30,6,1
1/2/2021 11:30,6,5
1/2/2021 11:30,6,9
1/2/2021 12:00,8,1
1/2/2021 12:00,11,5
1/2/2021 12:00,9,9
1/2/2021 12:30,4,1
1/2/2021 12:30,8,5
1/2/2021 12:30,7,9
1/2/2021 13:00,15,1
1/2/2021 13:00,21,5
1/2/2021 13:00,10,9
1/2/2021 13:30,12,1
1/2/2021 13:30,18,5
1/2/2021 13:30,5,9
1/2/2021 14:00,22,1
1/2/2021 14:00,23,5
1/2/2021 14:00,12,9
1/2/2021 14:30,22,1
1/2/2021 14:30,36,5
1/2/2021 14:30,17,9
1/2/2021 15:00,14,1
1/2/2021 15:00,43,5
1/2/2021 15:00,21,9
1/2/2021 15:30,30,1
1/2/2021 15:30,31,5
1/2/2021 15:30,14,9
1/2/2021 16:00,26,1
1/2/2021 16:00,42,5
1/2/2021 16:00,24,9
1/2/2021 16:30,35,1
1/2/2021 16:30,38,5
1/2/2021 16:30,27,9
1/2/2021 17:00,40,1
1/2/2021 17:00,53,5
1/2/2021 17:00,19,9
1/2/2021 17:30,25,1
1/2/2021 17:30,43,5
1/2/2021 17:30,10,9
1/2/2021 18:00,35,1
1/2/2021 18:00,37,5
1/2/2021 18:00,16,9
1/2/2021 18:30,23,1
1/2/2021 18:30,53,5
1/2/2021 18:30,20,9
1/2/2021 19:00,29,1
1/2/2021 19:00,37,5
1/2/2021 19:00,17,9
1/2/2021 19:30,38,1
1/2/2021 19:30,50,5
1/2/2021 19:30,19,9
1/2/2021 20:00,25,1
1/2/2021 20:00,45,5
1/2/2021 20:00,24,9
1/2/2021 20:30,45,1
1/2/2021 20:30,50,5
1/2/2021 20:30,25,9
1/2/2021 21:00,35,1
